Date : 2020-12-13 14:18:05
Directory : /Volumes/Workspace/Web Dev/Tarot/TarotV3
Total : 118 files,  33710 codes, 144 comments, 417 blanks, all 34271 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/App.scss                                                     | SCSS       |         66 |          7 |         19 |         92 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/App.test.js                                                  | JavaScript |          8 |          0 |          2 |         10 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/assets/icons/chanel.svg                                      | XML        |         14 |          0 |          0 |         14 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/assets/icons/chevron-double-up-o.svg                         | XML        |         22 |          0 |          0 |         22 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/assets/icons/dark-mode.svg                                   | XML        |         18 |          0 |          0 |         18 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/assets/icons/file-add.svg                                    | XML        |         15 |          0 |          0 |         15 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/assets/icons/folder.svg                                      | XML        |         14 |          0 |          0 |         14 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/assets/icons/menu.svg                                        | XML        |         20 |          0 |          0 |         20 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/assets/icons/options.svg                                     | XML        |         20 |          0 |          0 |         20 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/assets/icons/readme.svg                                      | XML        |         14 |          0 |          0 |         14 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/assets/icons/search.svg                                      | XML        |         14 |          0 |          0 |         14 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/assets/icons/trash-empty.svg                                 | XML        |         14 |          0 |          0 |         14 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/assets/icons/undo.svg                                        | XML        |         12 |          0 |          0 |         12 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/assets/icons/user.svg                                        | XML        |         18 |          0 |          0 |         18 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/color-comp/animate-editor.css                     | CSS        |         27 |          0 |          7 |         34 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/color-comp/color-comp.js                          | JavaScript |         55 |          0 |          8 |         63 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/color-comp/color-comp.styles.scss                 | SCSS       |         40 |          3 |          6 |         49 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/color-comp/indicator-animate.css                  | CSS        |         27 |          1 |          6 |         34 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/color-result/color-result.js                      | JavaScript |         18 |          3 |          8 |         29 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/color-result/color-result.styles.scss             | SCSS       |          9 |          0 |          2 |         11 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/composer-pane/composer-pane-animate.css           | CSS        |         24 |          0 |          3 |         27 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/composer-pane/composer-pane.js                    | JavaScript |         47 |          1 |          7 |         55 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/composer-pane/composer-pane.styles.scss           | SCSS       |         16 |          2 |          5 |         23 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/custom-button/custom-button.js                    | JavaScript |          8 |          0 |          3 |         11 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/custom-button/custom-button.styles.scss           | SCSS       |          4 |          0 |          0 |          4 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/delete-palette/delete-palette.js                  | JavaScript |         21 |          0 |          6 |         27 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/delete-palette/delete-palette.styles.scss         | SCSS       |         15 |          0 |          4 |         19 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/editor/editor.js                                  | JavaScript |         27 |          0 |          4 |         31 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/editor/editor.styles.scss                         | SCSS       |         69 |          9 |         11 |         89 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/form-input/form-input.js                          | JavaScript |         42 |          4 |          5 |         51 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/form-input/form-input.scss                        | SCSS       |          2 |          8 |          0 |         10 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/helper/helper.js                                  | JavaScript |         10 |          0 |          4 |         14 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/helper/helper.styles.scss                         | SCSS       |          0 |          0 |          1 |          1 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/icon-components/editor.icon.js              | JavaScript |         22 |          0 |          2 |         24 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/icon-components/help.icon.js                | JavaScript |         17 |          0 |          2 |         19 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/icon-components/open.icon.js                | JavaScript |         18 |          0 |          2 |         20 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/icon-components/save.icon.js                | JavaScript |         18 |          0 |          2 |         20 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/icon-components/search.icon.js              | JavaScript |         21 |          0 |          2 |         23 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/icon-components/them.icon.js                | JavaScript |         24 |          0 |          2 |         26 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/icon-components/user.icon.js                | JavaScript |         18 |          0 |          2 |         20 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/icon.styles.scss                            | SCSS       |          6 |          0 |          1 |          7 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/account_circle-black-48dp.svg           | XML        |          1 |          0 |          0 |          1 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/bookmark-black-48dp.svg                 | XML        |          1 |          0 |          0 |          1 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/dark-mode.svg                           | XML        |         18 |          0 |          0 |         18 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/file-add.svg                            | XML        |         15 |          0 |          0 |         15 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/folder-open-solid.svg                   | XML        |          1 |          0 |          0 |          1 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/folder.svg                              | XML        |         14 |          0 |          0 |         14 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/folder_open-black-48dp.svg              | XML        |          1 |          0 |          0 |          1 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/menu.svg                                | XML        |         20 |          0 |          0 |         20 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/options.svg                             | XML        |         20 |          0 |          0 |         20 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/question-circle-regular.svg             | XML        |          4 |          0 |          0 |          4 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/readme.svg                              | XML        |         14 |          0 |          0 |         14 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/save-regular.svg                        | XML        |          1 |          0 |          0 |          1 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/search.svg                              | XML        |         14 |          0 |          0 |         14 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/trash-empty.svg                         | XML        |         14 |          0 |          0 |         14 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/undo.svg                                | XML        |         12 |          0 |          0 |         12 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/user-solid.svg                          | XML        |          1 |          0 |          0 |          1 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/user.svg                                | XML        |         18 |          0 |          0 |         18 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/menu/menu.js                                      | JavaScript |         42 |          1 |          5 |         48 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/menu/menu.styles.scss                             | SCSS       |         39 |          1 |          5 |         45 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/palette-color/palette-color.js                    | JavaScript |          9 |          3 |          2 |         14 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/palette-color/palette-color.styles.scss           | SCSS       |          4 |          0 |          0 |          4 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/palette/palette-animate.css                       | CSS        |         44 |          0 |          9 |         53 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/palette/palette.js                                | JavaScript |         77 |          1 |          9 |         87 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/palette/palette.styles.scss                       | SCSS       |         32 |          3 |          7 |         42 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/rename-palette/rename-palette.js                  | JavaScript |         28 |          0 |          7 |         35 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/rename-palette/rename-palette.styles.scss         | SCSS       |         15 |          0 |          4 |         19 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/result-pane/result-pane.js                        | JavaScript |         15 |          0 |          4 |         19 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/result-pane/result-pane.styles.scss               | SCSS       |         11 |          0 |          3 |         14 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/save-palette-popup/save-palette-popop.js          | JavaScript |         58 |          1 |         10 |         69 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/save-palette-popup/save-palette-popup.styles.scss | SCSS       |         27 |          0 |          3 |         30 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/saved-palettes/saved-palettes.js                  | JavaScript |         48 |          0 |          8 |         56 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/saved-palettes/saved-palettes.styles.scss         | SCSS       |         15 |          5 |          5 |         25 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/search-bar/search-bar.js                          | JavaScript |          9 |          0 |          5 |         14 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/search-bar/search-bar.styles.scss                 | SCSS       |          0 |          0 |          1 |          1 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/submit/submit.css                                 | CSS        |         10 |          0 |          0 |         10 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/submit/submit.js                                  | JavaScript |          8 |          0 |          2 |         10 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/top-bar/search-bar-animate.css                    | CSS        |         26 |          0 |          3 |         29 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/top-bar/top-bar.js                                | JavaScript |         26 |          0 |          9 |         35 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/top-bar/top-bar.scss                              | SCSS       |         11 |          1 |          3 |         15 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/top-bar/top-barBackup.js                          | JavaScript |         19 |          0 |          3 |         22 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/user-menu/user-menu.js                            | JavaScript |         70 |          4 |          5 |         79 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/data.js                                                      | JavaScript |         38 |          0 |          1 |         39 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/fake-result.js                                               | JavaScript |         38 |          0 |          1 |         39 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/fake-saved-palettes.js                                       | JavaScript |        604 |          0 |          1 |        605 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/firebase/firebase.utils.js                                   | JavaScript |         82 |          5 |         11 |         98 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/index.css                                                    | CSS        |         12 |          0 |          2 |         14 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/index.js                                                     | JavaScript |         13 |          3 |          3 |         19 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/logo.svg                                                     | XML        |          7 |          0 |          1 |          8 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/account/account.js                                     | JavaScript |         73 |          3 |          8 |         84 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/sign-in/sign-in.js                                     | JavaScript |         68 |          0 |          8 |         76 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/splash/splash.js                                       | JavaScript |         14 |          0 |          4 |         18 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/splash/splash.scss                                     | SCSS       |         20 |          0 |          3 |         23 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/tarot/menu-animate.css                                 | CSS        |         48 |          0 |          7 |         55 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/tarot/saved-palettes-animate.css                       | CSS        |         28 |          0 |          4 |         32 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/tarot/tarot.js                                         | JavaScript |        218 |          2 |         25 |        245 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/tarot/tarot.scss                                       | SCSS       |         27 |          0 |          6 |         33 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/pages/tarot/tarotBackup.js                                   | JavaScript |         77 |          1 |         14 |         92 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/redux/composer/composer.actions.js                           | JavaScript |          5 |          0 |          1 |          6 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/redux/composer/composer.reducer.js                           | JavaScript |          0 |          0 |          1 |          1 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/redux/composer/composer.selectors.js                         | JavaScript |          0 |          0 |          1 |          1 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/redux/composer/composer.types.js                             | JavaScript |          3 |          0 |          1 |          4 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/redux/root-reducer.js                                        | JavaScript |         13 |          0 |          4 |         17 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/redux/store.js                                               | JavaScript |         11 |          0 |          4 |         15 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/serviceWorker.js                                             | JavaScript |         98 |         31 |         13 |        142 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/setupTests.js                                                | JavaScript |          1 |          4 |          1 |          6 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/styles/mixins.scss                                           | SCSS       |          0 |          0 |          1 |          1 |
| /Volumes/Workspace/Web Dev/Tarot/TarotV3/src/styles/variables.scss                                        | SCSS       |          0 |          0 |          1 |          1 |
| Total                                                                                                     |            |     33,710 |        144 |        417 |     34,271 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
